category,workers,country,agency,scheme,description,impact,sources
Affordability,Self-employed / own-account,Morocco,CNSS & Ministry of Economy,Auto-Entrepreneur Status & Intelaka Programme,"Simplified turnover tax and contribution regime with reduced rates (1% for commercial activity, 2% for services) paired with state-backed micro-credit guarantees. Since the 2021 reform, compulsory health insurance (AMO) has been extended to non-salaried workers.","Registered over 200,000 auto-entrepreneurs within three years of rollout; the AMO extension brings independent workers into compulsory health cover.",CNSS Maroc (couverture des travailleurs non salariés); ILO WP 176
Affordability,Self-employed / own-account,Lao PDR,Lao Social Security Organisation (LSSO),Voluntary Social Security Scheme for Self-Employed,Flexible contribution calculation options based on declared reference wage brackets for self-employed and informal workers.,Gradually expanding social security coverage outside formal wage employment.,ASEAN Snapshot
Affordability,Agricultural / rural workers,Colombia,Ministry of Labour,Seasonal Agricultural Worker Schemes,Flexible income assessment policies permitting temporary opt-outs or scaled contribution rates for seasonal agricultural labourers during low-harvest periods.,Protects seasonal workers from dropping out of coverage because of severe agricultural income volatility.,ILO Guidebook; ILO (2017)
Affordability,Domestic workers,India (Tamil Nadu),Tamil Nadu Domestic Workers Welfare Board / Ministry of Labour,Domestic Workers Welfare Board & Rashtriya Swasthya Bima Yojana (RSBY),"Tamil Nadu pioneered state-level welfare boards for unorganised workers funded by tax cesses and government allocations. The Welfare Board issues worker identity cards and grants educational stipends for children, maternity assistance and old-age pensions. At national level, RSBY provided fully state-financed inpatient health insurance up to INR 30,000 per year using cashless smartcards.","RSBY covered 41 million informal households nationwide at its peak; the Tamil Nadu Welfare Board registered tens of thousands of domestic workers, pioneering organised welfare representation in South Asia.",WIEGO Tamil Nadu Policy Brief No. 23; ILO Social Protection Guide (2020); National Health Authority (PM-JAY)
Access,Agricultural / rural workers,Mongolia,General Authority for Social Insurance & MLSP,"One-Stop Shops (OSS), Mobile Services & Herder Cooperatives","Single-window delivery hubs providing 21 services, mobile units for remote nomadic herders, and non-cash contribution payments (livestock or raw materials) collected through herder cooperatives.",One-stop shops used regularly by around 60% of the population; ILO-supported interventions raised herders' social insurance coverage by about 10% in target soums.,ILO Mongolia UN Joint Programme (Extending Social Protection to Herders); ILO WP 176; ILO Guidebook
Access,Agricultural / rural workers,Tunisia,Caisse Nationale de Sécurité Sociale (CNSS) / Ahmini,Ahmini ('Protect Me') Mobile Platform,"Mobile registration platform for rural agricultural women using voice activation to overcome illiteracy, and enabling contributions via airtime or mobile money, run as a social enterprise in partnership with CNSS.",Enrolled thousands of previously unreached agricultural women before transitioning them into state schemes.,FAO Social Protection (Advancing social protection for women farmers in Tunisia); Ashoka Fellow profile; ILO WP 176
Access,Self-employed / own-account,Cabo Verde,INPS,Casa di Cidadão One-Stop Shops,"Streamlined business and social security registration hubs located in high-density areas such as municipal markets, equipped with integrated IT systems.",Social security coverage increased from 39.8% to 55.3% between 2016 and 2020.,ILO WP 176; ILO Guidebook
Access,Informal economy (general),Philippines,Social Security System (SSS),AlkanSSSya Programme & UMID Smart Cards,"Physical micro-contribution savings boxes installed at transport terminals and workplaces allowing informal workers to make small daily cash deposits, supported by UMID smart cards. The model has since been extended to 4Ps (conditional cash transfer) households.","Registered and collected contributions from over 107,000 informal transport and other workers as reported in the mid-2010s; subsequently expanded through a DSWD–SSS partnership.",SSS / Philippine SDG portal AlkanSSSya; DAP Compendium of Innovations; ASEAN Snapshot
Access,Informal economy (general),India,Ministry of Labour and Employment,e-Shram Portal (National Database of Unorganised Workers),"Centralised digital single-window portal that simplified registration for informal, gig, platform and street workers using Aadhaar-linked verification, now integrated with 15 government schemes.","Over 318 million (31.89 crore) unorganised workers registered as of August 2026, providing a portable social security identity.",Ministry of Labour & Employment / PIB e-Shram five-year statement (Aug 2026); WIEGO Brief 8; SPACE Summary
Access,Self-employed / own-account,Indonesia,BPJS Kesehatan,Mobile JKN Digital Application,"Comprehensive mobile app enabling self-employed workers to register, change clinics, pay contributions via e-wallets and access digital health cards.",Reduced physical branch visits substantially and improved voluntary contribution compliance.,SPACE Summary; ASEAN Snapshot
Access,Agricultural / rural workers,South Africa,SASSA & Department of Social Development,Integrated Community Registration Outreach Programme (ICROP),Mobile outreach units equipped with satellite technology deployed to remote rural communities to register informal and agricultural workers for social protection.,Extended social protection access to millions of marginalised rural inhabitants.,ILO WP 176
Access,Informal economy (general),Chile,Instituto de Previsión Social (IPS),ChileAtiende Multi-Channel Network,"Integrated multi-channel service delivery network combining physical offices, mobile units, call centres and web portals for one-stop social protection access.",Reduced administrative overhead and travel time for informal and rural workers.,ILO Guidebook
Access,Informal economy (general),Dominican Republic,AMUSSOL (Asociación Mutual de Servicios Solidarios),Mutual Association of Solidarity Services,"Non-governmental association acting as a 'virtual employer' to collect, consolidate and transfer social security contributions on behalf of informal worker associations.",Enabled thousands of informal street vendors and transport workers to access formal health and pension systems.,ILO Guidebook
Access,Domestic workers,Bolivia,Ministry of Labour / Ministry of Health / FENATRAHOB,Domestic Work Act No. 2450 & Evening Public Health Clinics,"Law 2450 (2003) regulates domestic work, mandating written contracts, 90 days of maternity leave and inclusion in the Comprehensive Pension System. To overcome access barriers for live-in care workers who cannot leave their employers during the day, public medical clinics were mandated to operate evening hours (17:00–21:00). Supported by women-led advocacy from FENATRAHOB.","Removed a major time-conflict barrier preventing domestic workers from seeking medical care, and guaranteed healthcare and pension rights for indigenous domestic workers.",UN Women & ITUC Briefing Kit; ILO Social Protection Guide (2020); ILO Guidebook
Access,Domestic workers,Mexico,Instituto Mexicano del Seguro Social (IMSS),"Domestic Worker Pilot Programme, Mobile Registration Portal & 2022 Mandatory Reform","Following the Supreme Court's December 2018 ruling that excluding domestic workers from social security is unconstitutional, IMSS launched a dedicated pilot programme and smartphone application. The system replaced annual advance contribution requirements with flexible monthly online payments calculated on actual days worked and wages earned, and employers can register and pay in minutes. A 2022 reform to the Social Security Law converted the pilot into a permanent, compulsory regime.","IMSS reported 11,947 domestic workers enrolled in the first eight months of the pilot (to December 2019), of whom 76% were women, against an eligible population of more than two million. The scheme became mandatory nationwide under the 2022 reform.","IMSS (Zoé Robledo) via Mexico News Daily, Dec 2019; SCJN ruling (Dec 2018); Cámara de Diputados 2022 IMSS Law reform; ILO Social Protection Reports"
Access,Informal economy (general),Cambodia,National Social Security Fund (NSSF),Firm Threshold Reduction & IDEA Union Partnership,"Reduced the mandatory NSSF firm registration threshold from 8 workers down to 1 worker, and partnered with the IDEA union (tuk-tuk drivers and street vendors) to enrol informal economy members under a voluntary health insurance pilot.","Extended employment injury and health protection to micro-enterprises and informal transport workers, though pilot uptake has been reported as slow.",CamboJA News (NSSF informal worker pilot); Phnom Penh Post (IDEA); ASEAN Snapshot
Access,Informal economy (general),Viet Nam,Viet Nam Social Security (VSS),Social Insurance Law 2024 (in force 1 July 2025),"Lowered the mandatory social insurance contract duration threshold from 3 months to 1 month, brought new categories (including part-time workers above an earnings threshold and business household owners) into the mandatory scheme, and established digital voluntary pension contribution channels with a new maternity allowance for voluntary contributors.","Broadened mandatory baseline coverage to short-term, casual and seasonal labourers from 1 July 2025.","Crowe Vietnam / EY Vietnam SI Law 2024 briefings; World Bank (Expanding Coverage in Vietnam's Voluntary SI Scheme, 2025); ASEAN Snapshot"
Access,Informal economy (general),Nepal,Social Security Fund (SSF),Door-to-Door Smartphone Enrolment Assistants,Recruited local community assistants equipped with mobile smartphone applications to register informal and migrant worker families directly at their homes.,Overcame digital literacy and geographic distance barriers in hill and mountain districts.,ILO Guidebook; WIEGO Policy Brief No. 20 (Kathmandu)
Access,Informal economy (general),Timor-Leste,Instituto Nacional de Segurança Social (INSS),Contributory & Non-Contributory Hybrid Registration,Simplified registration framework offering a hybrid contributory and non-contributory registration track open to self-employed and domestic workers.,Established an initial formal social security coverage baseline in a young nation.,ASEAN Snapshot
Access,Self-employed / own-account,Cameroon,Caisse Nationale de Prévoyance Sociale (CNPS),Accredited Local Social Secretariats,Accredited local informal worker associations and trade secretariats to act as authorised registration and collection intermediaries for self-employed workers.,"Decentralised enrolment away from formal state offices, increasing local trust.",ILO Guidebook
Access,Agricultural / rural workers,Madagascar,CNaPS,Guichet Forain (Mobile Regional Outreach Agencies),Deployed mobile regional teams equipped with laptops and power generators to run temporary registration clinics in rural agricultural markets.,Brought social security registration directly to remote vanilla and coffee farmers.,ILO Guidebook
Access,Self-employed / own-account,France,URSSAF Caisse nationale (formerly ACOSS),Auto-Entrepreneur / Micro-Entrepreneur Online Declaration Portal,"Ultra-simplified online declaration and payment portal for micro-entrepreneurs, with contributions levied as a flat percentage of declared turnover and no filing required in months with no revenue.","Over 700,000 active auto-entrepreneurs within three years of the 2008 launch; coverage effectively reaches 100% of registered workers.",ILO (2017) Innovations in extending social insurance coverage to independent workers; URSSAF
Access,Domestic workers,France,CNCESU / URSSAF / Ministry of Labour,Chèque Emploi Service Universel (CESU) & Fiscal Incentives,"Introduced in 2006, CESU is a universal service voucher and digital portal allowing household employers to hire, declare and pay social security contributions in a single transaction. CNCESU auto-calculates contributions, debits employer accounts and generates official employment certificates. For multi-employer domestic workers, contributions from different households are consolidated into a single worker account. Households claim a 50% income tax credit on eligible personal-service expenditure, capped at €12,000 of expenses per year (a maximum credit of €6,000), with higher ceilings for households including a disabled member.","Associated with one of the highest effective social security coverage rates for domestic workers globally; a large majority of household employers participate, and studies find a substantial share of CESU users had previously employed the worker undeclared.","economie.gouv.fr (crédit d'impôt services à la personne); ILO Social Protection Reports (2016, 2020); ESPAN Synthesis Report (2024)"
Access,Domestic workers,Belgium,Accredited service agencies / ONEM-RVA / Regional governments,Titres-Services (Service Vouchers) Triangular Model,"Introduced in 2004, the service voucher system restructured domestic work around a triangular employment model. The household is not the direct employer; domestic workers are hired on formal employment contracts by accredited service agencies. Households buy vouchers at a face value of roughly €9–10 per hour, with the state covering around two-thirds of the true cost. Since October 2014 voucher workers have had full social protection across all branches. Tax relief varies by region: Flanders 30%, Brussels-Capital 15%, Wallonia 10%, each on a limited number of vouchers.","Employment grew from 62,000 workers in 2006 to around 150,000 by 2013–14 (roughly 100,000 full-time equivalents), across 2,000+ accredited agencies, with roughly 1 million users — about 11% of the population aged over 20.","European Labour Authority, BE Service Vouchers fiche (2023); Journal of Social Policy, Subsidized Household Services and Informal Employment; ESPAN Synthesis Report (2024)"
Access,Domestic workers,Uruguay,Banco de Previsión Social (BPS) / General Labour Inspectorate,"Law No. 18.065, BPS Mobile App & Specialised Inspectorate","Law 18.065 (2006) and Decree 244/007 guarantee equal rights for domestic workers, including part-time and multi-employer registration. BPS operates a free smartphone app and multichannel platform (web services, video tutorials, chatbots) allowing employers to register and deregister workers, update payroll and pay contributions online or by bank debit; the system automatically determines salary components, calculates contributions and issues invoices. A specialised labour inspectorate conducts front-door residential interviews and may enter homes under court warrant. Sectoral minimum wages are negotiated in tripartite Wage Councils.",Employer registration rose 67% and contributing jobs reached 76.4% between 2006 and 2018; contribution evasion fell by 60% over 2006–2017. ILO reports under-declaration to the social security administration falling from 22.6% (2006) to 8.7% (2019). Uruguay was the first country to ratify Convention No. 189 (2012).,"ILO, BPS e-Formality: The Case in Uruguay (wcms_713585); ILO (2025) International experience on protecting rights of domestic workers"
Access,Domestic workers,Argentina,ARCA (formerly AFIP) / ANSES / Ministry of Labour,"Law 26.844, Presumptive Employment Audits & Registradas Programme","Law 26.844 (2013) established compulsory coverage. The tax authority introduced a 'presumptive employment' model, legally assuming that households above defined income or asset thresholds employ a domestic worker unless proven otherwise, enabling central database auditing without physical home visits. Registration is simplified via online banking, the tax portal and telephone. Employers pay the full contribution for low-hour tiers and receive tax deductions. The 'Registradas' programme, launched in September 2021, co-finances 30–50% of a domestic worker's salary for six months.","Registered domestic workers increased more than threefold, from 133,013 in 2005 to 434,760 in 2017. A targeted information-letter campaign to 173,000 households yielded an 8.9 percentage point increase in registration.","IDB Policy Brief (2022) Public Policies for Unlocking Paid Domestic Labor in LAC; ILO Social Protection Reports (2016, 2020)"
Access,Domestic workers,Costa Rica,Caja Costarricense de Seguro Social (CCSS) / Directorate of Migration,Mandatory CCSS Insurance linked to Migrant Regularisation (Law 8.764),"Under the General Law on Migration and Foreigners (Law 8.764, 2009), holding official social insurance certification with CCSS is a mandatory prerequisite for regularising or renewing migration status. CCSS operates state-subsidised contribution categories for low-income independent workers based on contributory capacity brackets, and provides medical, maternity, invalidity, old-age and survivor benefits equally to national and migrant care workers.","Migrant domestic workers' social security and maternity coverage rates reached close to double those of national domestic workers, because of the mandatory immigration-regularisation link.","ILO, Social Protection for Migrant Domestic Workers (2016); ILO Guide (2020)"
Access,Domestic workers,Viet Nam,Viet Nam Social Security (VSS) / MOLISA,Labour Code 2019 (Articles 19 & 161) & Decree 145/2020,"The 2019 Labour Code, in force from 1 January 2021, explicitly included domestic workers within the general legal definition of 'employee' and expanded the definition of 'employer' to include private households. Article 19 recognises part-time employment and multi-employer contracts while maintaining social insurance entitlements. Employers must pay an amount equivalent to social insurance and health insurance premiums directly to the worker or into the VSS system. Decree 145/2020 sets the implementing detail.","Established formal legal equality for domestic workers in ASEAN labour law, providing a statutory foundation for coverage of agency-placed and independent domestic workers.",ILO ASEAN Report (2024); Decree 145/2020/ND-CP; ESPAN Synthesis Report (2024)
Access,Domestic workers,Romania,National Employment Agency (ANOFM) / Ministry of Labour,Domestic Work Tickets System (Bonuri de Muncă / Law 111/2022),"Under Law No. 111/2022 and Government Decision 822/2022, Romania launched an online platform for domestic work tickets. Household beneficiaries purchase electronic tickets (15 lei, about €3, each) that automatically register unqualified domestic service providers, pay wages and remit social insurance contributions and income tax to the state. Income tax (10%) and the pension contribution (25%) are each applied to only 50% of earned income. Workers redeeming at least 85 tickets a month qualify for free health insurance, and beneficiaries buying 600+ tickets a year receive 75 free tickets.","Targets the formalisation and digital social security registration of at least 60,000 previously unemployed or inactive people as domestic workers by 2026.","European Commission / ESPN, Romania launches a system of service vouchers (docId 25954); ESPAN Synthesis Report (2024)"
Access,Informal economy (general),Jordan,Social Security Corporation (SSC),'Outreach to All' Mobile Expansion Campaign,"Mandatory expansion of social security to micro-enterprises with fewer than 5 workers, enforced through mobile inspection and registration teams.",Registered tens of thousands of micro-firms and informal retail workers.,ILO WP 176
Awareness,Informal economy (general),Cabo Verde,INPS,Operational Plan for Extending Social Security,"Multi-channel communication campaign using television, radio, newspapers and workshops, paired with integrating social security education into the primary school curriculum.",Created high public buy-in and foundational social security awareness among future workforce generations.,ILO WP 176
Awareness,Informal economy (general),Indonesia,BPJS Kesehatan,Kader JKN (Social Insurance Activators) & SERTAKAN,"Recruits and trains peer-to-peer community agents (Kader JKN) who conduct door-to-door outreach, educate neighbours, register members and collect contributions.","Enhanced community trust, boosted voluntary compliance and reduced branch visits.",SPACE Summary; ASEAN Snapshot; ILO Guidebook
Awareness,Informal economy (general),Zambia,NAPSA & Workers Compensation Fund,ECIS & Green Jobs Educational Campaigns,"Tailored awareness campaigns using simplified pamphlets, mobile roadshows, radio broadcasts and seminars targeting construction micro and small enterprises and sawmillers.","Reached 1,500+ construction workers; surveys reported 85–98% willingness to contribute once the mechanisms were explained.",ILO WP 176
Awareness,Domestic workers,Paraguay,ANDE & Instituto de Previsión Social,Utility Bill Brochure Attachment Campaign,"Attached colourful, easy-to-read brochures detailing domestic workers' legal social security rights directly to monthly household electricity bills.",Achieved near-universal household reach across all socio-economic strata.,ILO Guidebook
Awareness,Informal economy (general),Peru,ESSALUD & Ministry of Education,Vocational Curricula Social Protection Modules,"Integrated mandatory practical modules on social security rights, self-employed contributions and occupational health into technical and vocational secondary schools.",Instilled early awareness of formal social insurance benefits among young people entering informal trades.,ILO Guidebook
Awareness,Informal economy (general),Kenya,NSSF Kenya / Mbao Pension Plan,Mbao Pension & Free Health Screening Outreach Events,"Community health fairs offering free ear, vision and blood pressure check-ups for informal artisans (jua kali), combining immediate health services with Mbao pension enrolment.",Created immediate tangible value that attracted thousands of informal workers to pension briefings.,ILO Guidebook
Awareness,Domestic workers,Zambia,National Pension Scheme Authority (NAPSA) / Ministry of Labour,NAPSA Domestic Worker Extension & Civic Education Campaign,"Domestic workers are compulsorily covered by NAPSA under the National Pension Scheme Act No. 40 of 1996, and employers must register them within one month of the start of work. Contributions are 10% of gross monthly earnings, shared equally between employer and worker, subject to a minimum qualifying income. Statutory enforcement was paired with intensive media and door-to-door civic education campaigns framing registration as a legal and moral civic duty.","Increased public awareness and employer compliance across urban centres, establishing NAPSA pension accounts for household care workers; NAPSA operates a dedicated reporting line for unregistered domestic workers.",NAPSA FAQs on Domestic Workers (napsa.co.zm); National Pension Scheme Act No. 40 of 1996; ILO Social Protection Reports
Attractiveness / Adequacy,Self-employed / own-account,Portugal,Instituto da Segurança Social (ISS),Economically Dependent Self-Employed Protection Regime,Legal regime requiring contracting companies that account for more than 50% or 80% of a self-employed worker's income to co-contribute 7%–10% toward that worker's social security.,"Rebalanced financial obligations between client and worker, granting access to unemployment, sickness and occupational injury benefits.",ILO WP 176
Attractiveness / Adequacy,Informal economy (general),India,"State Welfare Boards (Construction, Beedi and others)",Worker Welfare Funds & Cess-Based Financing,"Sector-specific welfare boards funded by a statutory 1–2% levy (cess) on commercial construction project cost or on production value, providing health, accident, maternity and funeral benefits.","Decoupled benefit financing from direct worker wages, securing social protection for millions of casual workers.",ILO WP 176; ILO Guidebook
Attractiveness / Adequacy,Self-employed / own-account,Germany,Künstlersozialkasse (KSK),Künstlersozialversicherung (Artists' Social Insurance),"Mandatory scheme for self-employed artists and writers in which the insured person pays 50% of contributions, commercial users of artistic work pay a levy covering about 30%, and the federal government subsidises the remaining 20%.","Achieved comprehensive pension, health and long-term care coverage across self-employed creative professionals.",Künstlersozialkasse official guidance; UNESCO Policy Monitoring Platform; ILO WP 176; ILO Guidebook
Attractiveness / Adequacy,Platform & gig workers,Singapore,Ministry of Manpower (MOM) & CPF Board,Platform Workers Act 2024 (in force 1 January 2025),"Legislation creating a legal framework that requires digital platform operators to make CPF contributions toward platform workers' retirement and housing, and to provide work injury compensation insurance aligned with WICA standards, alongside a right to be represented by platform work associations.","Decouples gig work protection from standard employment contracts, establishing risk-sharing between platforms and workers, with CPF contribution rates phased in over several years.","MOM press release, Commencement of Platform Workers Act from 1 Jan 2025; Allen & Gledhill briefing; ASEAN Snapshot"
Attractiveness / Adequacy,Platform & gig workers,Malaysia,SOCSO (PERKESO),Self-Employment Social Security Scheme (SPS) & i-Lindung,"Combines mandatory and voluntary occupational injury insurance for defined self-employed sectors with voluntary retirement savings, backed by government matching grants and bundled micro-insurance.","Extends injury and disability coverage to higher-risk informal sectors such as transport, delivery and hawking.",ASEAN Snapshot; WIEGO Presentation
Attractiveness / Adequacy,Informal economy (general),Zambia,NAPSA,SPIREWORK / ECIS Pilot Schemes,Tailored benefit packages for informal economy workers combining long-term pension savings with short-term protections such as weather index insurance against drought.,"High worker interest, attributed to the immediate relevance of climate and seasonal risk protection alongside pension savings.",ILO WP 176
Attractiveness / Adequacy,Agricultural / rural workers,Ecuador,Instituto Ecuatoriano de Seguridad Social (IESS),Seguro Social Campesino (SSC),"Specialised social insurance branch for smallholder farmers and artisanal fishers, providing primary healthcare, maternity benefits and invalidity and old-age pensions, delivered through community-based dispensaries and financed on a solidarity basis.",Protects rural agricultural and fishing families through a dedicated contributory branch with cross-subsidy from the general regime.,"IESS Seguro Campesino; ILO, Protección social en el sector pesquero del Ecuador (2025)"
Attractiveness / Adequacy,Informal economy (general),Rwanda,Rwanda Social Security Board (RSSB),Ejo Heza Long-Term Savings Scheme & CBHI Health Motivators,"Voluntary digital defined-contribution pension scheme launched on 14 December 2018, open to all residents with a national ID, with government top-ups, bundled life insurance and tax incentives; savings can partly be used as loan collateral or withdrawn for education and housing. Paired with community-based health insurance (CBHI) driven by a large network of community health workers.","Reached 317,595 members with over RWF 1.3 billion saved within its first year, and continued growing thereafter; CBHI health insurance coverage exceeds 80% of the population.",ISSA Good Practice 182218 (EjoHeza); World Bank EjoHeza case note; RSSB; SPACE Summary
Attractiveness / Adequacy,Domestic workers,South Africa,Department of Employment and Labour / Unemployment Insurance Fund (UIF),"Unemployment Insurance Amendment Act, Sectoral Determination 7 & COIDA extension","Domestic workers were integrated into the Unemployment Insurance Fund in 2003. Employer and worker each contribute 1% of monthly wages. The scheme accommodates multi-employer domestic work through 'partial unemployment benefits' where a worker loses one household job while retaining another. Supported by neighbourhood labour inspection blitzes, a National Skills Fund training programme, and organising by SADSAWU. In November 2020 the Constitutional Court's judgment in Mahlangu v Minister of Labour struck down the exclusion of domestic workers from the Compensation for Occupational Injuries and Diseases Act, extending work-injury compensation to them.","Approximately 680,000 domestic workers registered with UIF against about 1.01 million eligible (roughly 67%) as at 31 March 2019, with over 300,000 having received cash maternity and unemployment benefits.",GroundUp / Department of Employment and Labour UIF data (2019); Mahlangu v Minister of Labour [2020] ZACC 24 (SAFLII); UN Women & ITUC Briefing Kit
Attractiveness / Adequacy,Domestic workers,Spain,Tesorería General de la Seguridad Social (TGSS) / Ministry of Inclusion,"Special System for Domestic Employees (SEEH), 2022 Reform & Bilateral Agreements","Royal Decree-Law 16/2022 of 6 September 2022 reformed the SEEH following the Court of Justice of the EU's ruling in Case C-389/20 (24 February 2022), eliminating historical exclusions and granting domestic workers unemployment protection, occupational risk coverage and statutory sick pay. In-kind salary deductions are capped at 30% of the minimum wage. Spain has signed bilateral social security agreements with Morocco and Ecuador guaranteeing pension portability for migrant care workers, and ratified ILO Convention No. 189 on 28 February 2023.","The reform affects approximately 373,000 registered domestic workers and safeguards pension portability for migrant care workers from Latin America and North Africa.",CJEU Case C-389/20; Royal Decree-Law 16/2022; ILO (2025) International experience on protecting rights of domestic workers; ESPAN Synthesis Report (2024)
Advocacy & Representation,Agricultural / rural workers,Costa Rica,CCSS,Convenios Colectivos de Seguro (Collective Insurance Agreements),"Legal mechanism allowing rural cooperatives, unions and producer associations (minimum 50 members) to collectively negotiate contribution rates, collect fees and act as administrative intermediaries with CCSS.","Empowered rural workers through collective bargaining, serving as a bridge between the state and dispersed rural populations.",ILO WP 176
Advocacy & Representation,Informal economy (general),Philippines,Social Security Commission / SSS,Legislative Mandate for an Informal Sector Seat (RA 11199),"The Social Security Act of 2018 requires that the tripartite Social Security Commission include a member representing informal sector workers, institutionalising their voice in scheme governance.",Institutionalised informal workers' representation in national social security governance.,Republic Act No. 11199 (Social Security Act of 2018); WIEGO Presentation; ASEAN Snapshot
Advocacy & Representation,Informal economy (general),Nigeria,FIWON Cooperative,Worker-Led Cooperative Social Insurance Scheme,"Worker-driven collective scheme organised by Federation of Informal Workers' Organisations of Nigeria chapters that pools informal worker contributions, self-organises social insurance and advocates with public authorities.","Created a trusted, grassroots alternative for informal workers in a low-trust, low-public-investment setting.",FIWON / WIEGO Case Study
Advocacy & Representation,Informal economy (general),India,KKPKP & Municipalities,Municipal Waste Picker Group Insurance Partnerships,"Grassroots waste pickers' trade union (KKPKP) advocated for municipal recognition, securing municipal budget subsidies for collective group health insurance for its members.",Demonstrated how collective worker organisation and local government partnership can bridge urban protection gaps.,WIEGO Doc 33; ILO Guidebook
